Produk ID,Harga Tematik,Harga FS (Bottom)
22351954,66.300,65.000
1549694294,132.000,129.500
1922967415,66.300,65.000
2025683515,132.000,129.500
4874754936,132.000,129.500
5620298444,162.000,166.000
5383048669,746.600,746.600
5383069731,746.600,746.600
334321220,148.400,143.600
2358404457,148.400,143.600
3022840849,148.400,143.600
612374830,294.900,287.200
7693872882,294.900,287.200
3089389039,294.900,287.200
641155371,593.400,574.400
4874337684,556.800,556.800
4142016194,556.800,556.800
7320235939,88.800,88.800
9445539433,169.000,169.000
7320454822,349.000,349.000
12918144895,279.000,280.000
12970395326,559.000,560.000
7259215053,299.000,299.000
602989618,720.000,720.000
915233339,1.090.000,1.090.000
9522160164,995.000,989.000
280274362,392.000,385.000
1547221349,372.000,366.000
3099135138,372.000,366.000
4187372162,372.000,366.000
11558202931,372.000,366.000
1053561784,128.000,125.500
1053667417,257.000,257.000
1139774270,383.000,383.000
1438538974,105.000,105.000
12246677354,99.000,99.000
12246796199,198.000,198.000
1802301276,229.000,229.000
12113951047,165.000,165.000
12114040584,329.000,329.000
2247387067,70.000,70.000
164062998,179.800,174.100
22351603,98.900,95.800
8327506139,322.500,313.300
8327407473,54.100,52.300
422305313,308.800,303.000
7264188650,51.900,50.500
1053941746,63.200,62.000
1053943637,124.000,124.000
1395719416,13.800,13.500
1682216568,67.300,66.000
1681720928,266.400,266.400
1486734914,133.200,133.200
1695752625,75.400,75.400
,,
14605189983,159.000,159.000
652285686,50.900,49.900
652287410,50.900,49.900
652277609,50.900,49.900
,,
627612802,50.900,49.900
644605696,50.900,49.900
743136865,50.900,49.900
8966580805,50.900,49.900
1412487133,50.900,49.900
1221402186,50.900,49.900
14184860943,39.900,39.900
1797555812,50.900,49.900
644612469,50.900,49.900
13626327563,203.600,199.000
644617141,50.900,49.900
13626411262,203.600,199.000
13841285929,50.900,49.900
2067610413,50.900,49.900
644619597,50.900,49.900
644613518,50.900,49.900
644615794,50.900,49.900
773233112,159.840,159.840
935793002,50.900,49.900
2067423411,50.900,49.900
2342483168,50.900,49.900
2489804704,50.900,49.900
2016803236,50.900,49.900
935781411,50.900,49.900
4826933239,50.900,49.900
