Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
HiLo Gold Biscuit Cereal 500gr - Susu Tinggi Kalsium Tinggi Serat,3764840612,89100,Medan Amplas,0,0,0,0,0,0,0
HiLo Gold Biscuit Cereal 500gr - Susu Tinggi Kalsium Tinggi Serat,3764840612,89100,Bandung Nasution,0,0,0,0,0,0,0
Spesial Promo - Tropicana Slim Minyak Jagung 946ml - Near Expired,10890088447,117200,Jakarta Cakung,0,0,0,0,0,0,0
Spesial Promo - Tropicana Slim Minyak Jagung 946ml - Near Expired,10890088447,117200,Surabaya Osowilangun,0,0,0,0,0,0,0
Spesial Promo - Tropicana Slim Minyak Jagung 946ml - Near Expired,10890088447,117200,Bandung Nasution,0,0,0,0,0,0,0
Tropicana Slim Classic 100 sachet,164063052,94800,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Classic 100 sachet,164063052,94800,Bandung Nasution,5,0,5,0,0,0,0
Tropicana Slim Classic 100 sachet,164063052,94800,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Classic 100 sachet,164063052,94800,Jakarta Cakung,140,0,140,0,0,0,0
Tropicana Slim Classic 100 sachet,164063052,94800,Surabaya Osowilangun,37,0,37,0,0,0,0
L-Men Platinum Kacang Hijau 800gr - Suplemen Olahraga Tinggi Protein,1547221349,439300,Surabaya Rungkut,0,0,0,0,0,0,0
L-Men Platinum Kacang Hijau 800gr - Suplemen Olahraga Tinggi Protein,1547221349,439300,Jakarta Cakung,49,0,39,10,0,0,0
L-Men Platinum Kacang Hijau 800gr - Suplemen Olahraga Tinggi Protein,1547221349,439300,Surabaya Osowilangun,2,0,2,0,0,0,0
L-Men Platinum Kacang Hijau 800gr - Suplemen Olahraga Tinggi Protein,1547221349,439300,Medan Amplas,0,0,0,0,0,0,0
L-Men Platinum Kacang Hijau 800gr - Suplemen Olahraga Tinggi Protein,1547221349,439300,Bandung Nasution,6,0,6,0,0,0,0
HiLo Teen Taro 500gr - Susu Tinggi Kalsium,1674041019,999999,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Teen Taro 500gr - Susu Tinggi Kalsium,1674041019,999999,Jakarta Cakung,0,0,0,0,0,0,0
HiLo Teen Taro 500gr - Susu Tinggi Kalsium,1674041019,999999,Surabaya Osowilangun,0,0,0,0,0,0,0
HiLo Teen Taro 500gr - Susu Tinggi Kalsium,1674041019,999999,Medan Amplas,0,0,0,0,0,0,0
HiLo Teen Taro 500gr - Susu Tinggi Kalsium,1674041019,999999,Bandung Nasution,0,0,0,0,0,0,0
Buy 1 Get 1 FREE HiLo Klepon Latte Refill 500gr,6542033522,124800,Surabaya Osowilangun,0,0,0,0,0,0,0
HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,6827609764,47300,Jakarta Cakung,56,0,56,0,0,0,0
HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,6827609764,47300,Surabaya Osowilangun,35,0,30,5,0,0,0
HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,6827609764,47300,Medan Amplas,0,0,0,0,0,0,0
HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,6827609764,47300,Bandung Nasution,7,0,7,0,0,0,0
Buy 1 Get 1 FREE: HiLo School 3+ Soya Multigrain Vanilla Malt 400gr,6889364881,999000,Surabaya Osowilangun,0,0,0,0,0,0,0
Green Packing - 4 Packs - HiLo School Chocolate RTD 200 ml,10371534072,31600,Jakarta Cakung,0,0,0,0,0,0,0
Triple Pack - Tropicana Slim Strawberry Jam 375g - Selai Stroberi,10778684035,299400,Jakarta Cakung,13,0,13,0,0,0,0
Triple Pack - Tropicana Slim Strawberry Jam 375g - Selai Stroberi,10778684035,299400,Surabaya Osowilangun,7,0,7,0,0,0,0
Triple Pack - Tropicana Slim Strawberry Jam 375g - Selai Stroberi,10778684035,299400,Medan Amplas,0,0,0,0,0,0,0
Triple Pack - Tropicana Slim Strawberry Jam 375g - Selai Stroberi,10778684035,299400,Bandung Nasution,3,0,3,0,0,0,0
NutriSari Madu Lemon (40 Sch),644615794,62000,Medan Amplas,0,0,0,0,0,0,0
NutriSari Madu Lemon (40 Sch),644615794,62000,Bandung Nasution,8,0,8,0,0,0,0
NutriSari Madu Lemon (40 Sch),644615794,62000,Surabaya Rungkut,0,0,0,0,0,0,0
NutriSari Madu Lemon (40 Sch),644615794,62000,Jakarta Cakung,46,0,26,20,0,0,0
NutriSari Madu Lemon (40 Sch),644615794,62000,Surabaya Osowilangun,17,0,17,0,0,0,0
L-Men Lose Weight Mango Sticky Rice 300gr - Suplemen Olahraga,3022840849,183800,Surabaya Rungkut,0,0,0,0,0,0,0
L-Men Lose Weight Mango Sticky Rice 300gr - Suplemen Olahraga,3022840849,183800,Jakarta Cakung,12,0,12,0,0,0,0
L-Men Lose Weight Mango Sticky Rice 300gr - Suplemen Olahraga,3022840849,183800,Surabaya Osowilangun,0,0,0,0,0,0,0
L-Men Lose Weight Mango Sticky Rice 300gr - Suplemen Olahraga,3022840849,183800,Medan Amplas,0,0,0,0,0,0,0
L-Men Lose Weight Mango Sticky Rice 300gr - Suplemen Olahraga,3022840849,183800,Bandung Nasution,0,0,0,0,0,0,0
Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,3869684911,80100,Medan Amplas,0,0,0,0,0,0,0
Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,3869684911,80100,Bandung Nasution,5,0,5,0,0,0,0
